time,Open,High,Low,Close,Volume
2025-08-06 06:00:00,3376.33,3377.29,3375.53,3375.72,1178
2025-08-06 06:15:00,3375.74,3378.38,3375.49,3376.98,909
2025-08-06 06:30:00,3376.97,3377.21,3373.42,3375.13,1118
2025-08-06 06:45:00,3375.09,3375.18,3373.95,3374.56,584
2025-08-06 07:00:00,3374.63,3375.53,3374.54,3374.68,534
2025-08-06 07:15:00,3374.65,3376.45,3374.5,3374.83,584
2025-08-06 07:30:00,3374.84,3376.14,3374.38,3374.75,518
2025-08-06 07:45:00,3374.87,3374.98,3372.23,3372.43,666
2025-08-06 08:00:00,3372.43,3373.25,3371.28,3372.06,943
2025-08-06 08:15:00,3372.1,3372.74,3370.72,3371.7,739
2025-08-06 08:30:00,3371.74,3373.84,3370.76,3370.87,1368
2025-08-06 08:45:00,3370.69,3374.68,3370.68,3374.31,1249
2025-08-06 09:00:00,3374.3,3376.77,3373.24,3375.44,1281
2025-08-06 09:15:00,3375.37,3378.0,3374.99,3377.21,1217
2025-08-06 09:30:00,3377.18,3378.63,3376.52,3376.88,918
2025-08-06 09:45:00,3377.1,3377.34,3373.94,3375.15,1053
2025-08-06 10:00:00,3375.19,3375.19,3371.27,3372.09,1589
2025-08-06 10:15:00,3372.1,3372.81,3369.06,3370.23,1432
2025-08-06 10:30:00,3370.15,3375.15,3370.1,3374.54,1401
2025-08-06 10:45:00,3374.56,3377.13,3373.34,3373.59,1505
2025-08-06 11:00:00,3373.5,3374.76,3368.52,3369.22,2094
2025-08-06 11:15:00,3369.25,3370.33,3365.21,3366.74,1618
2025-08-06 11:30:00,3366.73,3367.56,3364.87,3366.4,1560
2025-08-06 11:45:00,3366.37,3367.13,3364.78,3365.15,1039
2025-08-06 12:00:00,3365.17,3367.44,3365.0,3365.98,1251
2025-08-06 12:15:00,3366.01,3367.82,3364.1,3364.57,1182
2025-08-06 12:30:00,3364.61,3364.61,3362.4,3362.43,1622
2025-08-06 12:45:00,3362.4,3362.5,3358.18,3358.96,2284
2025-08-06 13:00:00,3358.9,3362.94,3358.3,3362.9,1750
2025-08-06 13:15:00,3362.94,3365.54,3362.0,3363.79,1936
2025-08-06 13:30:00,3363.76,3363.78,3359.98,3361.21,1247
2025-08-06 13:45:00,3361.24,3365.33,3360.56,3363.68,1267
2025-08-06 14:00:00,3363.67,3364.39,3360.72,3364.37,1102
2025-08-06 14:15:00,3364.4,3366.73,3363.64,3366.19,1369
2025-08-06 14:30:00,3366.22,3367.08,3364.93,3365.66,1191
2025-08-06 14:45:00,3365.66,3365.89,3363.99,3365.21,1191
2025-08-06 15:00:00,3365.1,3365.23,3360.6,3360.67,1929
2025-08-06 15:15:00,3360.66,3365.35,3360.24,3364.45,2393
2025-08-06 15:30:00,3364.34,3364.88,3360.63,3364.28,2431
2025-08-06 15:45:00,3364.3,3369.31,3363.19,3367.51,2771
2025-08-06 16:00:00,3367.54,3371.49,3367.12,3368.61,3414
2025-08-06 16:15:00,3368.6,3370.53,3368.13,3369.15,2498
2025-08-06 16:30:00,3369.16,3370.98,3365.24,3366.17,5635
2025-08-06 16:45:00,3366.14,3373.55,3365.69,3371.71,4538
2025-08-06 17:00:00,3371.68,3373.91,3369.57,3371.89,4101
2025-08-06 17:15:00,3371.94,3376.6,3371.31,3376.34,3045
2025-08-06 17:30:00,3376.37,3377.4,3374.66,3377.31,2779
2025-08-06 17:45:00,3377.35,3379.43,3376.03,3379.4,2432
2025-08-06 18:00:00,3379.41,3379.96,3377.3,3378.13,3124
2025-08-06 18:15:00,3378.24,3378.47,3375.6,3376.62,2127
2025-08-06 18:30:00,3376.62,3376.79,3370.21,3375.54,4382
2025-08-06 18:45:00,3375.52,3379.08,3375.4,3377.47,3540
2025-08-06 19:00:00,3377.55,3379.49,3375.59,3375.6,2117
2025-08-06 19:15:00,3375.55,3376.17,3372.91,3374.78,1882
2025-08-06 19:30:00,3374.77,3376.91,3374.16,3376.3,1850
2025-08-06 19:45:00,3376.32,3376.99,3374.27,3376.09,2403
2025-08-06 20:00:00,3376.13,3377.66,3373.97,3374.61,2817
2025-08-06 20:15:00,3374.57,3374.71,3370.85,3372.68,3158
2025-08-06 20:30:00,3372.69,3376.22,3372.42,3375.64,2369
2025-08-06 20:45:00,3375.65,3376.39,3374.4,3374.59,1670
2025-08-06 21:00:00,3374.55,3374.6,3370.09,3370.16,2699
2025-08-06 21:15:00,3370.19,3370.68,3369.02,3369.72,2461
2025-08-06 21:30:00,3369.69,3372.81,3369.63,3372.7,2060
2025-08-06 21:45:00,3372.74,3374.48,3371.4,3371.64,1629
2025-08-06 22:00:00,3371.63,3371.9,3370.46,3371.12,1767
2025-08-06 22:15:00,3371.13,3373.17,3370.82,3371.76,2901
2025-08-06 22:30:00,3371.8,3372.84,3371.42,3371.81,1570
2025-08-06 22:45:00,3371.86,3372.08,3370.29,3371.67,2086
2025-08-06 23:00:00,3371.67,3372.18,3369.92,3370.19,897
2025-08-06 23:15:00,3370.17,3370.2,3368.45,3368.76,819
2025-08-06 23:30:00,3368.78,3368.87,3367.11,3367.61,997
2025-08-06 23:45:00,3367.66,3369.47,3367.29,3369.26,779
2025-08-07 01:00:00,3369.8,3374.78,3369.49,3371.76,1466
2025-08-07 01:15:00,3371.86,3372.28,3369.97,3371.32,963
2025-08-07 01:30:00,3371.3,3372.39,3370.25,3372.06,927
